trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",30,17,-22.52052288339467,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",30,10,-28.96900351197847,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",25,0,-128.60915545587758,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,14,-1.4309377719375136,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,0,-58.26294091286886,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",35,6,-65.90338218305322,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",30,20,20.141090951400532,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,6,-32.27939647517942,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",30,3,-44.874081994539786,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",30,13,-4.365519933315018,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",30,12,14.762537824378828,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,11,6.207740087432962,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,4,-14.239534232487063,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,0,-11.203918843249758,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,3,-43.13314514517505,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,14,17.160223220940804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,12,9.779214175098506,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,0,-31.47287504491357,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",35,27,8.537203080743051,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,12,-5.650667299847563,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,2,12.808604093785176,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,2,23.541419285447972,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,0,-49.371284058546124,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,0,-1.7207949561372793,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,10,10.252974770682242,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,0,-10.396506708406976,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,14,9.87644435992604,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,1,23.829137476652672,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",35,23,-24.881137513323413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",35,0,-91.99251461479686,"{0: 30, 1: 0, 2: 2, 3: 0, 4: 3}",0
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",25,10,4.846762271994113,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,15,9.489717395589544,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.296386587399208}",20,0,-20.42824576315946,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",25,12,12.429338724560521,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",20,0,26.638805266570138,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",25,7,-11.830874508028941,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",25,7,31.506513616566775,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",25,8,-10.530288432706923,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",20,11,-2.5416499313795917,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,16,8.229334640623236,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",25,12,15.218541908940963,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",20,10,15.196611848933511,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",20,11,4.841712766708131,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",25,17,-8.491820777901776,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",25,0,28.349412453700698,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",30,12,-3.4778160323469773,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",25,0,25.59114865609878,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",25,18,5.519090391765831,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",20,0,32.05191641464169,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",30,0,-0.463526974807867,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",20,0,28.687814709491516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
